id,result,user_email,company_name,name,main_category,company_URL,linkedin_URL,category,message,twitter_URL,pricing,image,company_description,referrenceId
1,Accepted,,Shazam,,Audio,https://www.shazam.com,https://www.linkedin.com/company/shazam-entertainment,Audio Finder,,https://twitter.com/Shazam,https://www.shazam.com/gb/track/553728015/paid-the-price,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710433987061000.jpg?alt=media&token=1e14b8c9-a2da-40f2-a5cf-1e9bf937b38d,"Shazam is an application that revolutionized the way we discover music. It listens to the music playing around you and quickly identifies the song title, artist, and even provides lyrics. The app is known for its accuracy and speed, making it a must-have for music lovers. It’s not just limited to song identification; Shazam also offers features like watching music videos, accessing song charts, and finding concert tickets for artists. It works across various devices and can even identify songs when you’re offline. With its user-friendly interface and a wealth of music-related information, Shazam has become an indispensable tool for experiencing and exploring music.",02l7L2YOh5bThd7ICRRD
2,Accepted,,Magnific AI,,Images,https://magnific.ai/,https://www.linkedin.com/company/magnific-ai/,Image Editors,,https://twitter.com/magnific_ai,https://magnific.ai/#faq,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710436595542000.jpeg?alt=media&token=7b632a72-fac9-4ca5-83e6-bc642b39c292,"Magnific AI is an AI-powered image upscaler and enhancer that allows users to transform any image into a higher-resolution version with added details and quality. It uses advanced generative AI technology to achieve photo-realistic results and offers a user-friendly interface with various controls for customization. Suitable for professionals and hobbyists alike, Magnific AI caters to a broad spectrum of users, including photographers, graphic designers, digital artists, and businesses needing enhanced images for marketing materials or personal use. It also provides different subscription plans to accommodate various needs.",05UlH7WPbHy62jRzG2kv
3,Accepted,,RescueTime,,Action,https://www.rescuetime.com/,https://www.linkedin.com/company/rescuetime/,Plan Automation,,https://twitter.com/rescuetime,,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710490586369000.jpg?alt=media&token=c8618f35-4928-43bc-a7ed-eb7e5de298dd,"RescueTime is an automated time tracking software that helps you understand and optimize how you spend your time. It provides detailed reports on your activities, sets goals, and offers alerts to keep you focused. With features like distraction blocking and offline time tracking, RescueTime aims to enhance productivity and focus. It’s available for a 14-day free trial and integrates with various productivity tools to offer a comprehensive time management solution.",0DTjZsd3arRd9Xs3upvk
4,Accepted,,Google Project Astra,,Action,https://deepmind.google/technologies/gemini/project-astra/,https://www.linkedin.com/company/googledeepmind/,AI Agent,,https://x.com/googledeepmind,,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FQzHkqn1BvRUvTkEyL7FW3McEjGq1%2Fuploads%2F1723019252950000.jpeg?alt=media&token=6326e20f-cfd1-445d-a3c0-b714822549c7,A project by DeepMind focused on advanced AI technologies and innovations.,0Rt6OXCCsKtyB4DHYELT
5,Accepted,,Sendsteps,,Action,https://www.sendsteps.com/en/,https://www.linkedin.com/company/sendsteps/,Design/Presentation,,https://twitter.com/Sendsteps,https://www.sendsteps.com/en/pricing/,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710489628453000.png?alt=media&token=ca5f8703-a809-4b92-a9f7-f78a3e342b0c,"Sendsteps is an innovative AI-powered presentation tool designed to revolutionize the way presentations are created and delivered. It offers a fast and interactive experience, allowing users to create presentations up to 10 times faster. With Sendsteps, users can either start from scratch or upload documents to generate presentations, which include design, content, pictures, and interactive elements. It’s trusted by over a million users and is particularly beneficial for business professionals, educators, and students, enhancing engagement and understanding during meetings and educational sessions. Sendsteps stands out as the first AI interactive presentation tool, providing a unique and efficient solution for presentation creation.",0S8ytHkgUPulLKUkbUbk
6,Accepted,,Unsplash,,Other,https://unsplash.com/,https://ca.linkedin.com/company/unsplash,Assets and Resources,,https://x.com/unsplash,https://unsplash.com/plus,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FQzHkqn1BvRUvTkEyL7FW3McEjGq1%2Fuploads%2F1722015460298000.png?alt=media&token=32a9d349-d40b-43d2-851b-0a384fb5ec29,"Unsplash is a platform offering a vast library of free, high-quality images contributed by photographers around the world. Users can explore, download, and use these royalty-free photos for personal and commercial projects without requiring attribution. The site covers a wide range of categories and provides tools for discovering and organizing visual content.",0VaWJWfC1WrNlTI4igWt
7,Accepted,,Melody Scanner,,Audio,https://melodyscanner.com/,https://www.linkedin.com/products/klangio-melody-scanner/,Audio Editing,,,https://melodyscanner.com/,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710500144590000.jpg?alt=media&token=1ee2f030-6537-480a-9285-91ea1ca13fd5,"Melody Scanner is an innovative app that automatically transcribes your favorite songs into sheet music. Whether you upload music files, import YouTube videos, or record your instrument, Melody Scanner creates the sheet music for you, simplifying the music transcription process. It’s a powerful tool for musicians who want to give music their personal note and is accessible through their website.",0Vnc5WVSAYICqhwTwLz2
8,Accepted,,Gmail’s smart reply,,Action,https://blog.google/products/gmail/save-time-with-smart-reply-in-gmail/,https://www.linkedin.com/company/google/,Plan Automation,,https://twitter.com/google,,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710502382084000.jpg?alt=media&token=e5f45529-87e0-4ef6-8387-ad6aefb7ed35,"Smart Reply in Gmail is a feature that streamlines email communication by suggesting three contextually relevant responses to incoming emails. This tool, which utilizes machine learning, adapts to your personal communication style over time, offering suggestions that are more aligned with how you typically respond. Initially available in English, with plans to expand to other languages, Smart Reply aims to save users valuable time, allowing for quick replies or edits before sending.",0eNEbWVvn3tsXBdmMALk
9,Accepted,,Lumen5,,Video,https://lumen5.com/,https://www.linkedin.com/company/lumen5/,Video Generation,,https://twitter.com/lumenfive,https://lumen5.com/pricing/,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FUpWS2PsVQrNFUAdW3GPd8A5WAH73%2Fuploads%2F1710431020919000.jpeg?alt=media&token=01c9bc00-7c27-4a16-af67-d16c1d1ff5c0,"Lumen5 is an AI-powered video creation platform designed to help users create engaging video content quickly and easily, without the need for prior training or experience. It offers a range of features including access to thousands of media assets, templates, and branding tools, making it possible to produce standout videos for social media and other digital channels. The platform is trusted by Fortune 500 companies and is used to create videos for a variety of use cases, ensuring consistent branding and effective communication across all channels.",0oAWViv1u88M0aMgQvum
10,Accepted,,RenderNet,,Image,,https://in.linkedin.com/company/rendernetai,Image Generation,,https://twitter.com/rendernet_ai,,https://firebasestorage.googleapis.com/v0/b/rock-star-tools-25g0k7.appspot.com/o/users%2FQzHkqn1BvRUvTkEyL7FW3McEjGq1%2Fuploads%2F1722009761974000.jpg?alt=media&token=3edef1f6-8bae-43a0-bfd3-2055011a097f,"RenderNet is an AI-powered platform designed to create consistent character images. It focuses on maintaining character consistency across various images, making it ideal for applications in animation, storytelling, and branding. RenderNet provides tools for generating high-quality, character-consistent visuals using advanced AI technology.
",0viYHyj80nyhTUaWOjXS
